oficio_c8_4d,oficio_c8_label,occupation_name_isco08,grupo_exposicion_4d,ocupados,observaciones,exposicion_promedio_4d,desviacion_tareas_4d,participacion_empleo
3353,Agentes de servicios de seguridad social,Government Social Benefits Officials,Gradient 2,1386.5046464690693,25,0.45,0.07,6.039994043703079e-05
1420,Gerentes de comercios al por mayor y al por menor,Retail and Wholesale Trade Managers,Gradient 2,387612.88577017863,6456,0.44,0.15,0.01688547908783852
3324,Agentes de operaciones comerciales y consignatarios,Trade Brokers,Gradient 2,16421.40564659329,260,0.44,0.1,0.0007153614129404092
3339,Agentes de servicios comerciales no clasificados en otros grupos primarios,Business Services Agents Not Elsewhere Classified,Gradient 2,13904.950308209038,221,0.44,0.12,0.000605737725102124
2165,Cartógrafos y topógrafos,Cartographers and Surveyors,Gradient 2,8805.833259865414,130,0.44,0.12,0.00038360621852136066
1330,Directores de servicios de tecnología de la información y las comunicaciones,Information and Communications Technology Service Managers,Gradient 2,7467.0941307681605,96,0.44,0.07,0.00032528707486459944
4322,Empleados de servicios de apoyo a la producción,Production Clerks,Gradient 2,727.5346831291124,12,0.44,0.06,3.1693403724812366e-05
5221,Comerciantes de tiendas,Shopkeepers,Gradient 2,327845.2648112467,5780,0.43,0.1,0.014281837798084606
3341,Supervisores de oficina,Office Supervisors,Gradient 2,205849.43980431042,2777,0.43,0.11,0.008967365478968752
4214,Cobradores y afines,Debt Collectors and Related Workers,Gradient 2,32803.8423817087,501,0.43,0.07,0.0014290252333497339
3511,Técnicos en operaciones de tecnología de la información y las comunicaciones,Information and Communications Technology Operations Technicians,Gradient 2,20446.129002786154,246,0.43,0.13,0.0008906893872163313
3513,Técnicos en redes y sistemas de computación,Computer Network and Systems Technicians,Gradient 2,13402.362062694945,211,0.43,0.08,0.0005838436043931098
2432,Profesionales de relaciones públicas,Public Relations Professionals,Gradient 2,3109.8180474077226,39,0.43,0.09,0.0001354721928352514
3354,Agentes gubernamentales de expedición de licencias,Government Licensing Officials,Gradient 2,404.8098652097102,5,0.43,0.07,1.763462661972003e-05
2422,Profesionales en políticas de administración,Policy Administration Professionals,Minimal Exposure,25341.547734184707,447,0.42,0.06,0.0011039472371224216
1219,Directores de administración y servicios no clasificados en otros grupos primarios,Business Services and Administration Managers Not Elsewhere Classified,Gradient 2,24884.62197385949,369,0.42,0.1,0.0010840422993509751
4229,Otros empleados de servicios de información al cliente no clasificados en otros grupos primarios,Client Information Workers Not Elsewhere Classified,Gradient 2,21575.501816979926,314,0.42,0.13,0.0009398879606810669
5242,"Demostradores de tiendas, almacenes y afines",Sales Demonstrators,Gradient 2,9466.774627122259,205,0.42,0.11,0.0004123986349884436
2152,Ingenieros electrónicos,Electronics Engineers,Gradient 2,8000.572445548991,86,0.42,0.13,0.0003485268516076978
1221,Directores de ventas y comercialización,Sales and Marketing Managers,Gradient 2,79103.87176651857,690,0.41,0.09,0.0034459813425102934
4412,Empleados de servicios de correos,Mail Carriers and Sorting Clerks,Gradient 2,9547.50392211981,118,0.41,0.15,0.00041591542421940157
2265,Dietistas y nutricionistas,Dieticians and Nutritionists,Minimal Exposure,7918.493455422986,154,0.41,0.07,0.00034495126595973945
2424,Profesionales en formación y desarrollo de personal,Training and Staff Development Professionals,Gradient 2,1174.569987223553,24,0.41,0.09,5.1167486130028816e-05
2164,"Planificadores urbanos, regionales y de tránsito",Town and Traffic Planners,Minimal Exposure,758.9130091077164,9,0.41,0.06,3.3060329558741555e-05
2131,"Biólogos, botánicos, zoólogos y afines","Biologists, Botanists, Zoologists and Related Professionals",Gradient 2,17460.27576897569,337,0.4,0.1,0.0007606174412368189
1223,Directores de investigación y desarrollo,Research and Development Managers,Minimal Exposure,6145.326990662521,58,0.4,0.06,0.0002677072775394946
5230,"Cajeros de comercio, taquilleros y expendedores de boletas",Cashiers and Ticket Clerks,Gradient 1,191916.86119117524,3293,0.39,0.14,0.008360424189222134
2634,Psicólogos,Psychologists,Gradient 1,74945.08447841919,1405,0.39,0.14,0.0032648131761206776
2351,Especialistas en métodos pedagógicos,Education Methods Specialists,Gradient 1,16759.01251277979,280,0.39,0.11,0.0007300684928342465
3431,Fotógrafos,Photographers,Gradient 1,13789.992539376339,246,0.39,0.12,0.0006007298497892274
3411,"Técnicos y profesionales del nivel medio del derecho, de servicios legales y afines",Legal and Related Associate Professionals,Gradient 1,11914.568775411155,244,0.39,0.14,0.0005190312533033366
3323,Agentes de compras,Buyers,Minimal Exposure,9816.947670024,109,0.39,0.08,0.00042765313196238563
2113,Químicos,Chemists,Minimal Exposure,5078.553980859709,63,0.39,0.1,0.0002212357230329808
1222,Directores de publicidad y relaciones públicas,Advertising and Public Relations Managers,Minimal Exposure,3612.123976182432,36,0.39,0.05,0.00015735401505375106
3333,Agentes de empleo y contratistas de mano de obra,Employment agents and contractors,Minimal Exposure,589.9823897878317,9,0.39,0.09,2.5701249031390876e-05
5223,"Vendedores y auxiliares de venta en tiendas, almacenes y afines",Shop Sales Assistants,Gradient 1,1337628.6058828542,23197,0.38,0.16,0.058270766223498034
1120,Directores y gerentes generales,Managing Directors and Chief Executives,Minimal Exposure,103455.63864397127,1062,0.38,0.06,0.0045068110142177185
1321,Directores de industrias manufactureras,Manufacturing Managers,Minimal Exposure,43720.11379646565,621,0.38,0.11,0.001904567918998058
1324,"Directores de empresas de abastecimiento, distribución y afines","Supply, Distribution and Related Managers",Minimal Exposure,42685.207950342,463,0.38,0.05,0.0018594845854347775
2143,Ingenieros medioambientales,Environmental Engineers,Minimal Exposure,20277.87239588394,329,0.38,0.07,0.0008833596685162092
1112,Directores del gobierno,Senior Government Officials,Minimal Exposure,14115.534137004648,249,0.38,0.08,0.0006149113335344132
2133,Profesionales de la protección medioambiental,Environmental Protection Professionals,Minimal Exposure,10863.084341863769,147,0.38,0.04,0.00047322571105833696
3114,Técnicos en electrónica,Electronics Engineering Technicians,Minimal Exposure,7031.49974288636,126,0.38,0.11,0.00030631139010958074
1349,Directores y gerentes de servicios profesionales no clasificados en otros grupos primarios,Professional Services Managers Not Elsewhere Classified,Minimal Exposure,5781.439742393314,67,0.38,0.07,0.0002518553522125747
7321,Preimpresores y afines,Pre-press Technicians,Gradient 1,5318.989834967381,73,0.38,0.22,0.00023170976746118607
3141,Técnicos en ciencias biológicas (excluyendo la medicina),Life Science Technicians (excluding Medical),Gradient 1,1464.8403886522124,16,0.38,0.18,6.381245995076037e-05
2111,Físicos y astrónomos,Physicists and Astronomers,Gradient 1,451.92111305679816,3,0.38,0.14,1.968692162725918e-05
4321,Empleados de control de abastecimientos e inventario,Stock Clerks,Minimal Exposure,270306.39435427194,3826,0.37,0.06,0.011775286985387538
9621,"Mensajeros, mandaderos, maleteros y repartidores","Messengers, Package Deliverers and Luggage Porters",Gradient 1,199969.7536463874,3439,0.37,0.19,0.008711230243770383
2310,Profesores de instituciones de educación superior,University and Higher Education Teachers,Minimal Exposure,83108.01659998075,1756,0.37,0.12,0.0036204128599655475
3422,"Entrenadores, instructores y árbitros de actividades deportivas","Sports Coaches, Instructors and Officials",Minimal Exposure,64328.352348973895,953,0.37,0.12,0.0028023192422651794
4415,Empleados de archivos,Filing and Copying Clerks,Gradient 1,42127.90307457792,797,0.37,0.17,0.0018352068584274136
2141,Ingenieros industriales y de producción,Industrial and Production Engineers,Minimal Exposure,38704.213265776205,370,0.37,0.07,0.0016860615518803966
2161,Arquitectos constructores,Building Architects,Minimal Exposure,36966.95141645995,576,0.37,0.08,0.0016103816668620176
1211,Directores financieros,Finance Managers,Minimal Exposure,28824.761601175655,318,0.37,0.04,0.0012556855746977556
3432,Diseñadores y decoradores de interiores,Interior Designers and Decorators,Minimal Exposure,15890.081088061528,250,0.37,0.08,0.0006922154597192808
1411,Gerentes de hoteles,Hotel Managers,Gradient 1,13964.963500670352,285,0.37,0.13,0.000608352064159213
2654,"Directores y productores de cine, de teatro y afines","Film, Stage and Related Directors and Producers",Minimal Exposure,8723.892510649368,83,0.37,0.07,0.00038003665502612193
1344,Directores  de servicios de bienestar social,Social Welfare Managers,Minimal Exposure,3848.488248535582,79,0.37,0.07,0.00016765069022749046
1114,"Dirigentes de organizaciones con un interés específico
(partidos políticos, sindicatos y organizaciones sociales)",Senior Officials of Special-interest Organizations,Minimal Exposure,2862.397891803907,58,0.37,0.06,0.00012469389310185435
2619,Profesionales en derecho no clasificados en otros grupos primarios,Legal Professionals Not Elsewhere Classified,Minimal Exposure,1355.112415891803,28,0.37,0.09,5.9032408880695164e-05
3433,"Técnicos en galerías de arte, museos y bibliotecas","Gallery, Museum and Library Technicians",Gradient 1,690.4145758124076,10,0.37,0.2,3.0076350167397426e-05
2162,Arquitectos paisajistas,Landscape Architects,Minimal Exposure,463.718317922504,4,0.37,0.08,2.0200840187162095e-05
2611,Abogados,Lawyers,Minimal Exposure,215338.6418961086,3568,0.36,0.09,0.009380741115753783
1412,Gerentes de restaurantes,Restaurant Managers,Minimal Exposure,123641.14556066669,2093,0.36,0.12,0.00538614698944474
1212,Directores de recursos humanos,Human Resource Managers,Minimal Exposure,110659.13302275496,1489,0.36,0.05,0.00482061496180999
1345,Directores de servicios de educación,Education Managers,Minimal Exposure,39559.03041254004,653,0.36,0.1,0.001723299728384582
1342,Directores de servicios de salud,Health Service Managers,Minimal Exposure,38911.50378681339,821,0.36,0.05,0.0016950916948054071
3359,Agentes de gobierno y profesionales del nivel medio para la aplicación de regulaciones no clasificados en otros grupos primarios,Government Regulatory AssociatePprofessionals Not Elsewhere Classified,Minimal Exposure,22846.567243202506,410,0.36,0.1,0.0009952590524627818
5222,Supervisores de tiendas y almacenes,Shop Supervisors,Minimal Exposure,12728.734186177724,225,0.36,0.12,0.0005544985288306303
2114,Geólogos y geofísicos,Geologists and geophysicists,Minimal Exposure,3182.860845596019,32,0.36,0.1,0.00013865413720966254
1213,Directores de políticas y planeación,Policy and Planning Managers,Not Exposed,1528.143848122278,26,0.36,0.04,6.65701320517426e-05
5211,Vendedores en quioscos y puestos de mercado,Stall and Market Salespersons,Gradient 1,112504.59116974869,2208,0.35,0.17,0.004901008173936122
3122,Supervisores de industrias manufactureras,Manufacturing Supervisors,Minimal Exposure,48449.7048595884,573,0.35,0.13,0.002110601861424157
3334,Agentes inmobiliarios,Real Estate Agents and Property Managers,Minimal Exposure,44565.74608181104,596,0.35,0.09,0.0019414059777788666
2320,Profesores de formación profesional,Vocational Education Teachers,Minimal Exposure,25547.42276912845,556,0.35,0.12,0.0011129157175957765
