departamento,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4
Cesar,515871.15542724985,10942,0.9683362899937257,0.2388428436299099,0.6271280049755785,0.13108177401401555,0.10252972009152458,0.07169837931543581,0.021449494516536844,0.014448917080634461,0.03166371000627432,0.2101265110041317,0.035898411597171304
Bolívar,885761.33413306,14472,0.9714372843976151,0.23670176875602367,0.6313908232954935,0.14327684209342517,0.09505839249393318,0.0591258248055236,0.024741590459794034,0.017843811249445413,0.02856271560238498,0.19676961900869624,0.04258540170923945
Magdalena,594008.2057770757,13950,0.9774817854648516,0.23565579694433855,0.6408985465879989,0.12752859564169755,0.09181007089666603,0.08040807817962252,0.02325001971502069,0.013586474443845992,0.02251821453514832,0.2090546432351552,0.036836494158866674
Tolima,580409.6244525462,10840,0.9687305630282321,0.23509773599123912,0.6286938732587843,0.13064643773713833,0.09340658375491517,0.0699286297767828,0.02640066020992553,0.019654378290685903,0.0312694369717678,0.2093902520323094,0.046055038500611434
Boyacá,522604.1778084041,11586,0.9739088484344027,0.2316324053362856,0.6534544699401275,0.12348148681476434,0.090063174966569,0.05898803821033039,0.027121349156743108,0.02080032934586836,0.026091151565597416,0.19697289167951085,0.047921678502611476
Sucre,403195.9914862028,13201,0.9711248776015758,0.23072266779127773,0.6523617286235713,0.12448248573106163,0.08189031269927072,0.07827730231576714,0.020064122550258006,0.014048925681646967,0.028875122398424116,0.19428066324694282,0.03411304823190498
Córdoba,791370.3113817275,11071,0.9532848976497696,0.2305279161266736,0.6322468618190575,0.12425952111629726,0.08007722215824968,0.0845032155281676,0.021328012119640225,0.01087006490835735,0.04671510235023017,0.1967785147144149,0.032198077027997575
La Guajira,348363.9258438963,10326,0.7999807562581972,0.2232341496430757,0.5406924239878449,0.1449310037883351,0.050364823316447045,0.03934440749884909,0.013202810533169726,0.011445287133551418,0.2000192437418028,0.11435732848201728,0.024648097666721144
Chocó,137366.3891371751,8436,0.9839850164884991,0.2145531612553624,0.7447127212335533,0.08692712905693245,0.07643370609255441,0.05303075143681662,0.014982193204169995,0.007898515464472308,0.016014983511500828,0.15234516619801333,0.0228807086686423
Nariño,849082.5809281862,17822,0.9609523351348558,0.21116713186983985,0.721218330453715,0.0783305647869105,0.0680000229142435,0.0634189506865558,0.019277362261844077,0.01070710403158687,0.03904766486514432,0.16140343989423026,0.02998446629343095
Cauca,627653.8564868355,11958,0.9787156646006083,0.21014279575310027,0.7420381658139784,0.08540958115350912,0.06131642141283484,0.05639374333176671,0.018041945281315017,0.015515807607204158,0.021284335399391622,0.15126791763312072,0.03355775288851917
Huila,467605.97177084093,12026,0.9791319453169722,0.199785994140158,0.7304931133655022,0.09149178565563575,0.06517768453906098,0.05251816999665516,0.023185584049185946,0.01626560771093213,0.0208680546830278,0.15714704629583418,0.039451191760118076
